day,Quote,Month,
1,"So long as you have faith and honesty and devotion, everything will prosper",June,
2,"Great results are attained only by great patience, great courage, and great attempts",June,
3,If I consider myself greater than the Ant that crawls on the ground I am ignorant,June,
4,"How long is this life for? As you have come in to this word, leave some mark behind. You, the descendence of the most glorious Rishi's the world ever saw. ""In every one of you lies that eternal power"", and try to wake it up",June,
5,Unchaste imagination is as bad as unchaste action,June,
6,"It is culture that withstands shocks, not a simple mass of knowledge. You can put a mass of knowledge into the world, but that will not do it much good. There must come culture into the blood",June,
7,"The main spring of the strength of every race lies in spirituality, and the death of that race begins the day that spirituality wanes and materialism gains ground",June,
8,"Take up one idea. Make that one idea your life -- Think of it, dream of it, live on that idea. Let the brain, the muscles, nerves, every part of the body, be full of that idea, and just leave every other idea alone. This is the way to success, and this is the way great spiritual giants are produced. Others are mere talking machines.",June,
9,"Wealth goes, beauty vanishes, life flies, powers fly -- but the Lord abideth forever",June,abideth - to remain stable or fixed in a state
10,"So long as the millions live in hunger and ignorance I hold every man a traitor who, having been educated at their expense, pays not the least heed to them! I call those men who strut about in their finery having got all their money by grinding the poor, wretches, so long as they do not do anything for those 200 millions who are now no better than hungry savages!",June,
11,"To me, the thought of oneself as low and humble is a sin and ignorance",June,
12,It is a great privilege in our life that we are allowed to serve the Lord in all these shapes,June,
13,Jealousy is the root of all evil and the most difficult thing to conquer,June,
14,Every reaction in the form of hatred are evil is so much loss to the mind,June,
15,"What we want are western Science coupled with Vedanta, Brahmacharya as the guiding motto, and also Shraddha and faith in one's own Self",June,
16,"When the soul has wrestled with the circumstance and has met death, a thousand times death on the way, but nothing daunted has struggled forward again and again and yet again -- then the souls come out as a giant and laughs at the ideal he has been struggling for",June,
17,The cause of evil is our desire to be superior to others and our selfishness.,June,
18,"If you have faith in all 300 and thirty millions of your mythological God…and still have no faith in yourself, there is no salvation for you. Have faith in yourself, and stand up on that faith and be strong; That is what we need",June,
19,"If you lay down your life for a cause, then only you can be a leader. But we all want to be leaders without making the necessary sacrifice. And the result is zero - nobody listens to us",June,
20,"The great secret of true success, of true happiness, then, is this: The man who asks for no return, the perfectly unselfish, is the most successful",June,
21,"If there is sin, this is the only sin -- To say that you are weak or others are weak",June,
22,"The infinite power of the spirit, brought to bear upon matter evolves material development, made to act upon thought evolves intellectuality, and made to act upon itself makes of man a God",June,
23,"Have faith that you are all, my brave lads, born to do great things! Let not the box of puppies frighten you -- No not even the thunderbolts of heaven -- But stand up and work!",June,
24,Know that every thought and word that weakens you in this world is the only evil that exists in the world. Whatever makes men weak and fear is the only evil that should be shunned,June,
25,"Do not desire for what you desire you get. With it comes the terrible bondage. It is nothing but bringing ""noses on us""",June,
26,"Purity, patience, and perseverance are the three essentials to success and, above all love",June,
27,"Superstition is a great enemy of man, but bigotry is worse",June,"bigotry - prejudice, bias, racism"
28,"Whatever others think or do, lower not your standard of purity, morality and love of God",June,
29,Pleasure is not the goal of man but knowledge. ,June,
30,We must not judge of higher things from a low standpoint,June,
